kelurahan_id,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,tanggal_kejadian,lama_genangan,jumlah_hilang,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,bulan_kejadian,terjadi_banjir,ketinggian_air_min,ketinggian_air_max
46,"04, 05, 06, 07, 08",5,27,327,1065," 24, 25",0,0,0,0,6,2,10,100
46,"04, 05",4,21,212,711," 23, 29",0,0,0,0,10,2,30,80
46,"04, 05, 07, 08",4,25,235,789, 12,0,0,0,0,11,1,10,100
47,"03, 05, 06, 07, 11, 12, 14, 15, 16",9,32,876,2642," 05, 06, 07, 08, 09, 26",0,0,553,8,2,6,10,250
47,"07, 11",2,3,0,0," 4, 10",0,0,0,0,3,2,10,50
47,"5, 7, 11 ",3,6,0,0," 08, 10 , 17",0,0,0,0,4,3,10,35
47,"07, 11",2,5,0,0, 21,0,0,0,0,5,1,70,110
47,"07, 11",2,8,0,0, 25,0,0,0,0,6,1,50,75
47,"07, 11",2,4,175,290, 29,0,0,0,0,10,1,50,60
47,"07, 11",2,5,168,710, 12,0,0,0,0,11,1,20,60
48,13,1,3,0,0," 05, 06",0,0,0,0,2,2,10,120
48,13,1,3,60,240, 11,0,0,0,0,11,1,60,80
49,"03, 04, 05",3,13,0,0, 05,0,0,0,0,2,1,20,90
49,"03, 04",2,9,0,0, 12,0,0,0,0,3,1,10,10
49,"3 , 4",2,3,0,0, 4,0,0,0,0,4,1,5,10
49,"03, 04",2,10,560,1858, 11,0,0,0,0,11,1,30,50
49,4,1,1,0,0, 6,0,0,0,0,12,1,10,30
50,4,1,2,0,0," 05, 06",0,0,0,0,2,2,20,50
51,"01, 02, 03, 05, 08, 12",6,27,1066,3584," 05, 06, 07, 26",0,0,557,4,2,4,20,270
51,"01, 02, 03, 05, 08",5,0,0,0," 4, 10, 13",0,0,0,0,3,3,10,50
51,"01, 02, 03, 05, 08",5,21,0,0," 08, 10 , 17",0,0,0,0,4,3,10,60
51,"01, 02, 03, 05, 08",5,19,0,0," 20, 21",0,0,0,0,5,2,10,70
51,"03, 05, 08",3,3,0,0," 24, 25",0,0,0,0,6,2,10,20
51,"01, 02, 03, 05",4,8,0,0, 29,0,0,0,0,10,1,10,50
51,"02, 03, 05, 08",4,2,0,0, 12,0,0,0,0,11,1,10,50
52,"05, 06, 07, 15, 16",5,10,251,806," 05, 06, 07",0,0,350,3,2,3,30,250
52,"06, 07",2,0,0,0, 4,0,0,0,0,3,1,50,100
52,"06, 07",2,3,0,0, 21,0,0,0,0,5,1,10,30
52,7,1,1,1,3, 25,0,0,0,0,6,1,10,30
53,"01, 02, 05",3,9,18,54," 05, 06, 07, 08, 09, 10",0,0,1560,4,2,6,60,300
54,3,1,1,0,0," 05, 06",0,0,0,0,2,2,50,150
55,"03, 04",2,8,41,414," 06, 07",0,0,414,2,2,2,20,80
56,1,1,1,0,0, 22,0,0,0,0,4,1,20,30
56,1,1,1,825,4000, 28,0,0,0,0,11,1,40,70
56,1,1,8,0,0, 11,0,0,0,0,12,1,20,40
44,12,1,1,0,0, 18,0,0,0,0,4,1,20,30
